,LAT,LONG
0,50.935151966,6.957684821
1,50.934533848,6.957167328
2,50.860118325,7.004873428
3,50.928664220,6.968996175
4,51.268332843,6.958581791
5,50.942261741,6.971917075
6,50.909672574,7.077827990
7,50.992235547,6.917575976
8,51.543616003,6.971917075
9,50.996749268,6.904206134
10,50.904351966,6.992684821
11,50.898183275,6.990817672
12,50.994295778,6.865233290
13,50.967492682,6.904206134
14,50.960325617,6.910838429
15,50.904351966,6.992684821
16,51.009797727,7.004855304
17,51.008286642,6.868996175
18,51.005076050,7.011813724
19,50.633768786,6.654664842
20,50.967492682,6.904206134
21,50.987773760,6.935905638
22,51.005076050,7.011813724
23,50.987773760,6.945905638
24,50.987773760,6.935905638
25,50.967492682,6.904206134
26,50.987773760,6.965905638
27,50.981832754,6.890817672
28,50.864013870,6.909268395
29,50.960325617,6.910838429
30,51.028664220,6.868996175
31,51.008640138,6.909268395
32,50.960325617,6.910838429
33,50.981832754,6.890817672
